Filter Band,RF_ShGross,RF_ShNet,RF_Turn%,RF_Trades,XGBoost_ShGross,XGBoost_ShNet,XGBoost_Turn%,XGBoost_Trades,LogReg_ShGross,LogReg_ShNet,LogReg_Turn%,LogReg_Trades
Raw (0.5),1.5172216180561895,0.28153799239639,32.9,658,1.415533530506328,0.006955985903597811,37.9,758,1.3307859294537467,-0.050748511357423184,34.150000000000006,683
"[0.49, 0.51]",1.5371957105155778,0.54678211290531,26.5,530,1.4336872651542314,0.16552313366984717,34.599999999999994,692,1.475516039171684,0.20229920210689764,31.15,623
"[0.48, 0.52]",1.3901514947110807,0.5764759256487929,21.8,436,1.4983955063684644,0.3056738475494144,32.2,644,1.516281016658603,0.3727324441075452,27.900000000000002,558
"[0.47, 0.53]",1.188069883368737,0.5177486233047328,17.8,356,1.4701934026165524,0.3400722376578188,30.5,610,1.3170117875192815,0.3002897584229209,25.2,504
"[0.46, 0.54]",1.2142894793449683,0.6977593534099966,13.750000000000002,275,1.4629663036667977,0.36543349470390496,29.599999999999998,592,1.2660382113601327,0.3237240905851072,23.400000000000002,468
"[0.45, 0.55]",1.01645903223436,0.6269859424394831,10.45,209,1.499413438278661,0.4957084941305302,27.200000000000003,544,1.2747700205445585,0.44252671615160444,20.7,414
"[0.44, 0.56]",0.929296792863678,0.647702846846542,7.449999999999999,149,1.4642511325587073,0.491566295755273,26.400000000000002,528,1.365858855858237,0.6000173497025224,18.9,378
"[0.43, 0.57]",0.9742569182523718,0.7602303021716074,5.55,111,1.4821978545692511,0.582760588534575,24.5,490,1.4183568054666142,0.7016917636945675,17.4,348
"[0.42, 0.58]",0.9828059972548661,0.8052243240304199,4.55,91,1.4321494684478704,0.6508617539174016,21.3,426,1.2696283258146759,0.618227300718815,15.65,313
"[0.41, 0.59]",0.8188492511211543,0.6870325615701478,3.45,69,1.2885244178299176,0.5872762377668724,19.3,386,1.2009582221649773,0.6175706860681562,13.850000000000001,277
"[0.40, 0.60]",0.4366640542092905,0.34464747625058706,2.55,51,1.2434546609790853,0.6240465894960978,16.85,337,1.1332580422537,0.5868421327679997,12.950000000000001,259
"[0.39, 0.61]",0.43626151119698775,0.37808282045871416,1.6500000000000001,33,1.2055336095012308,0.6409315468468446,15.45,309,1.0953871492468163,0.6154713804441215,11.35,227
"[0.38, 0.62]",-0.232194804791553,-0.27239291187992587,1.15,23,1.2078769161579654,0.6759272522500173,14.649999999999999,293,1.1611141703905425,0.7448766946014355,9.950000000000001,199
"[0.37, 0.63]",0.01565785876442676,-0.007191888688440963,0.6,12,1.0276309687533052,0.538900240506489,13.65,273,1.0295827119948986,0.668648744892939,8.649999999999999,173
"[0.36, 0.64]",0.4459160624975395,0.4408385537138814,0.15,3,0.9197663973697613,0.46856885337511983,12.55,251,1.2689702014293758,0.9205625435655804,8.15,163
"[0.35, 0.65]",0.4459160624975395,0.4408385537138814,0.15,3,0.9376413633727371,0.49491591381991207,12.25,245,1.2876882153909242,0.9719875896329803,7.449999999999999,149
"[0.34, 0.66]",0.4459160624975395,0.4408385537138814,0.15,3,0.9354430544392917,0.5426258699559664,10.85,217,1.2539991299361537,0.9923851034279605,6.25,125
"[0.33, 0.67]",0.2749013222314954,0.2731327472565571,0.05,1,0.9313161754744887,0.577523893072317,9.75,195,1.2612851457815324,1.0366837472687145,5.4,108
"[0.32, 0.68]",0.2749013222314954,0.2731327472565571,0.05,1,0.8920444869755906,0.5585543338893273,9.15,183,1.1671118867015116,0.9641864877402615,4.9,98
"[0.30, 0.70]",0.0,0.0,0.0,0,0.8355905270280953,0.5644234984589159,7.449999999999999,149,0.7571985760303742,0.6017038103016592,3.8,76
