fold,test_start,test_end,AUC_RF,Acc_RF,F1_RF,AUC_XGBoost,Acc_XGBoost,F1_XGBoost,AUC_LogReg,Acc_LogReg,F1_LogReg
1,2017-03-21,2017-09-21,0.5401477832512315,0.5546875,0.6369426751592356,0.5177339901477833,0.53125,0.6052631578947368,0.48596059113300494,0.4765625,0.5109489051094891
2,2017-09-21,2018-03-21,0.4245337995337995,0.39344262295081966,0.3620689655172414,0.43006993006993,0.39344262295081966,0.3392857142857143,0.46037296037296044,0.4098360655737705,0.3076923076923077
3,2018-03-21,2018-09-21,0.5604395604395604,0.5390625,0.5986394557823129,0.5733821733821735,0.5703125,0.6206896551724138,0.5597069597069598,0.4921875,0.4628099173553719
4,2018-09-21,2019-03-21,0.6048474945533769,0.5819672131147541,0.5785123966942148,0.582516339869281,0.4918032786885246,0.5373134328358209,0.653050108932462,0.6229508196721312,0.5490196078431373
5,2019-03-21,2019-09-21,0.5010147133434806,0.49606299212598426,0.3469387755102041,0.4997463216641299,0.48031496062992124,0.49230769230769234,0.593607305936073,0.5590551181102362,0.5
6,2019-09-21,2020-03-21,0.5414987912973408,0.5403225806451613,0.41237113402061853,0.5643298415256514,0.5887096774193549,0.49504950495049505,0.5506312113886651,0.5403225806451613,0.5289256198347108
7,2020-03-21,2020-09-21,0.6060130718954249,0.6031746031746031,0.6376811594202898,0.5827450980392158,0.5476190476190477,0.5365853658536586,0.5709803921568628,0.5158730158730159,0.4077669902912621
8,2020-09-21,2021-03-21,0.614421768707483,0.6693548387096774,0.7484662576687117,0.6242176870748299,0.6290322580645161,0.684931506849315,0.647891156462585,0.5967741935483871,0.6428571428571429
9,2021-03-21,2021-09-21,0.5197505197505198,0.5555555555555556,0.6410256410256411,0.5317047817047817,0.5317460317460317,0.6040268456375839,0.5153326403326404,0.48412698412698413,0.5255474452554745
10,2021-09-21,2022-03-21,0.5047593865679534,0.4715447154471545,0.43478260869565216,0.5021152829190905,0.4878048780487805,0.4878048780487805,0.5415124272871497,0.5203252032520326,0.4158415841584158
11,2022-03-21,2022-09-21,0.5182648401826485,0.47244094488188976,0.54421768707483,0.512937595129376,0.4566929133858268,0.5490196078431373,0.552004058853374,0.5433070866141733,0.5166666666666667
12,2022-09-21,2023-03-21,0.6783625730994152,0.5691056910569106,0.6490066225165563,0.638755980861244,0.5365853658536586,0.6174496644295302,0.6759702286018076,0.5447154471544715,0.6266666666666667
13,2023-03-21,2023-09-21,0.5350877192982456,0.4881889763779528,0.48,0.5649122807017545,0.5511811023622047,0.5899280575539568,0.5335839598997494,0.5511811023622047,0.544
14,2023-09-21,2024-03-21,0.6140350877192982,0.5483870967741935,0.631578947368421,0.6077507200837916,0.5725806451612904,0.6787878787878788,0.6127258444619009,0.5725806451612904,0.6394557823129252
15,2024-03-21,2024-09-21,0.6608585858585858,0.5873015873015873,0.6666666666666666,0.6550505050505051,0.6031746031746031,0.6621621621621622,0.6282828282828282,0.5317460317460317,0.6335403726708074
16,2024-09-21,2025-03-21,0.5494652406417112,0.5528455284552846,0.5864661654135338,0.5409090909090909,0.5447154471544715,0.5757575757575758,0.5612299465240642,0.5121951219512195,0.5161290322580645
