feature,importance
VIX_Change,0.025980692
Is_Quarter_End,0.023180773
Price_vs_MA20,0.02175449
Is_Monday,0.021546202
SP500_x_Trend,0.02136052
SP500_x_VolShock,0.020633787
RSI_x_HV10,0.019633304
HL_Range,0.018637428
Return_x_VolShock,0.018623471
FX_Stress_20d,0.01844329
STOCH_K,0.018437915
SP500_Return_lag1,0.017932089
VIX_Return,0.017905224
Is_Friday,0.017859317
VN_HV10,0.017833035
Month_Sin,0.017733745
Is_Near_Tet,0.017551493
FX_Stress,0.017501542
VN_Return,0.017302612
ATR14_PCT,0.017269203
BB_PCT,0.016936498
Is_Tet_Zone,0.016886823
DXY_Return_lag1,0.016383614
MACD_DIFF,0.016330667
Price_vs_MA50,0.016275901
DOW_Sin,0.016220141
Consec_Up,0.01621045
WinRate_10d,0.016116647
VN_VIX_Signal,0.016093375
HSI_Return,0.016031282
OBV_Trend,0.01602538
Asia_Sentiment,0.015811503
Sector_Momentum,0.015460161
VN_Return_lag_1,0.015365005
VN_Return_lag_5,0.01526724
Gold_Return_lag1,0.015166585
Is_Month_End,0.015148946
DOW_Cos,0.015030108
VN_Return_lag_7,0.014960101
Volume_Shock_5,0.014844344
Sector_Divergence,0.014604991
Nikkei_Return,0.014580282
VN_Return_lag_3,0.014456524
VN_HV5,0.014390103
Regime_LowVol,0.014379045
Is_Earnings_Peak,0.014364231
Volume,0.014269722
BB_WIDTH,0.01422937
VN_Return_5d,0.014117106
RSI,0.013921122
Foreign_Net_MA5,0.013911829
VN_Return_20d,0.013533317
WinRate_20d,0.013532364
NASDAQ_Return_lag1,0.013525239
Oil_Return_lag1,0.013510958
Foreign_Net_Ratio,0.013357486
Month_Cos,0.013106879
VN_Return_lag_2,0.012736556
Volume_Shock,0.0125694405
STOCH_D,0.01237159
Is_Earnings_Season,0.011281355
Is_Month_Start,0.009565609
Is_Quarter_End_Week,0.0
Is_Deriv_Expiry,0.0
Is_Pre_Expiry,0.0
Regime_Downtrend,0.0
Regime_Uptrend,0.0
Regime_HighVol,0.0
Regime_Crisis,0.0
